;Deutschland;England;Frankreich;Spanien;Italien;Niederlande;Schweden;Portugal
;Elektronisches Fahrtenbuch;Electronic log book;Carnet de route électronique;Libro de ruta electrónico;Libro di bordo elettronico;Elektronische rittenregistratie;Elektronisk körjournal;Agenda electrónica;;
;BMW DVD System;BMW DVD system;Système DVD BMW;Sistema de DVD de BMW;Sistema DVD BMW;BMW DVD systeem;BMW DVD System;Sistema DVD BMW;;
;Gepäckraum-Spanngurte;Boot lashing straps;Sangle de fixation de coffre;Tensores para el maletero;Cinghie per bagagliaio;Bagageruimte spangordels;Spännremmar för bagageutrymme;Esticadores do porta-bagagens;;
;Gepäckraum-Formmatte;Boot shaped mat;Tapis de coffre sur mesure;Alfombrilla para el maletero;Tappetino sagomato per il bagagliaio;Bagageruimte voorgevormde mat;Formmatta för bagageutrymmet;Tapete moldável para o porta-bagagens
;Gepäckraum-Bodennetz;Boot floor net;Treillis pour plancher de coffre;Red para el fondo del maletero;Rete per il bagagliaio;Bagageruimte bodemplaatnet;Golvnät för bagageutrymmet;Rede para o chão do porta-bagagens
;Antirutschmatte;Anti-slip mat;Tapis antidérapant;Alfombrilla antideslizante;Tappetino antiscivolo;Antislipmat;Halksäker matta;Tapete antiderrapante
;Multifix-System;Multifix system;Système Multifix;Sistema Multifix;Sistema Multifix;Multifix-systeem;Multifix-system;Sistema de camadas múltiplas
;Gepäckraum-Wanne;Boot tray;Bac de coffre;Cesta para el maletero;Vasca per il bagagliaio;Bagageruimte-opbergbak;Bagagerumslåda;Tabuleiro do porta-bagagens
;Kleiderbügel;Coat hanger;Cintre;Percha;Gruccia appendiabiti;Kledinghanger;Klädhängare;Cabide
;Getränkehalter-Modul;Cupholder module;Module porte-gobelet;Módulo de soporte para bebidas;Modulo portabevande;Frisdrankhouder;Burkhållarmodul;Módulo de suporte de bebidas
;Staufach-Modul;Storage module;Module compartiment de rangement;Módulo de compartimentos de almacenamiento;Modulo vano ripostiglio;Opbergvak;Förvaringsfackmodul;Módulo de compartimentos porta-objectos
;Schirmköcher;Umbrella case;Etui à parapluie;Paragüero;Portaombrello;Paraplukoker;Paraplyhållare;Estojo de guarda-chuvas
;Fondschutzdecke;Rear protection cover;Couverture de protection arrière;Cubierta para los asientos posteriores;Copertura protettiva sedile posteriore;Bodemplaatbescherming;Bakskyddsplåt;Revestimento de protecção para o banco traseiro
;Kühltasche;Coolbag;Sac isotherme;Nevera portátil;Borsa frigo;Koeltas;Kylväska;Arca frigorífica
;Frontkamera;Front camera;Caméra avant;Cámara delantera;Telecamera anteriore;Frontcamera;Frontkamera;Câmara frontal
;Rückfahrkamera;Rear-view camera;Caméra de recul;Cámara de marcha atrás;Telecamera per retromarcia;Achteruitrijcamera;Backkamera;Câmara de vídeo traseira
;Gepäckraum-Trennetz;Boot separating net;Filet de séparation de coffre;Red separadora para el maletero;Rete divisoria bagagliaio;Scheidingsnet bagageruimte;Transportnät bagageutrymme;Rede separadora do porta-bagagens
;TV-Funktion;TV function;Fonction TV;Función TV;Funzione TV;TV-functie;TV-funktion;Função de TV
;Universal Gepäckraum-Wanne;Universal boot tray;Bac de coffre universel;Cesta universal para el maletero;Vasca universale bagagliaio;Universele bagageruimte-opbergbak;Universal bagagerumslåda;Tabuleiro universal do porta-bagagens
;Pulverfeuerlöscher;Powder fire extinguisher;Extincteur à poudre;Extintor de polvo;Estintore;Poederblusser;Pulversläckare;Extintor à base de pó seco
;Handlampe;Torch;Lampe torche;Lámpara portátil;Pila tascabile;Zaklamp;Handlampa;Lanterna
;Kleiderbügel;Coat hanger;Cintre ;Percha;Gruccia appendiabiti;Kledingbeugel;Klädhängare;Cabide
;BMW DVD System Advanced;BMW DVD System Advanced;Système DVD BMW Advanced;Sistema de DVD de BMW Advanced;Sistema DVD BMW Advanced ;BMW DVD System Advanced;BMW DVD System Advanced;Sistema BMW DVD Advanced
;Gepäckraum-Faltbox;Folding boot box;Caisse pliante de coffre;Caja plegable para el maletero;Cassetta pieghevole per bagagliaio;Vouwbox bagageruimte;Vikbar box, bagageutrymme;Caixa dobrável para porta-bagagens
;Gepäckraum-Verzurrschienen;Boot lashing rails;Rails d'arrimage de coffre;Rieles de amarre para el maletero;Guide di fissaggio bagagliaio;Vastsjorrail bagageruimte;Surrningsskenor bagageutrymme;Calha extensível para porta-bagagens
;Sitzbezug BMW Design;BMW Design seat cover;Housse de siège BMW Design;Tapizado del asiento BMW Design;Foderina per sedile BMW Design;Bekledingshoes BMW Design;Stolsöverdrag BMW Design;Forro para bancos BMW Design
;Wendeboden;Reversible base;Plancher pivotant;Suelo antideslizante;Fondo rovesciabile;Opvouwbare bodemplaat;Vändbar matta;Fundo reversível
;Ladeboden, ausziehbar;Pull-out load floor;Plateforme de chargement escamotable;Suelo de carga extensible;Piano di carico estraibile;Uittrekbare laadvloer;Lastgolv, utdragbart;Plano de carga, extensível
;Laderaum-Schutzdecke;Load floor protective cover;Couverture de protection pour espace de rangement;Cubierta protectora para el espacio de carga;Copertura protettiva per bagagliaio;Bescherming laadruimte;Skydd för lastutrymmet;Revestimento de protecção para o espaço de carga
;Gepäckraum-Trenngitter;Boot partition grille;Grille de séparation de coffre;Rejilla separadora para el maletero;Griglia divisoria bagagliaio;Scheidingstraliewerk bagageruimte;Galler för bagageutrymmet;Grelha separador para porta-bagagens
;Transport;Transport;Transport;Transporte;Trasporto;Transport;Transport;Transporte
;Sonnenschutz, faltbar;Sun visor, folding;Protection solaire, pliante;Visera parasol, plegable;Parasole pieghevole;Vouwbare zonnebescherming;Solskydd, vikbart;Cortina, dobrável
;Hardtop-Transportwagen;Hardtop transport trolley;Chariot de transport de hardtop;Carro de transporte para techo rígido;Carrello trasporto hardtop;Hardtop-transportwagen;Hardtop transportvagn;"Suporte com rodízios para capota ""hardtop"" "
;Ablagenetz im Fußraum;Oddments net in footwell;Filet de rangement de partie avant basse;Red portaobjetos en el hueco inferior;Rete portaoggetti nel vano piedi;Opbergnet in voetruimte;Förvaringsnät i fotutrymmet;Rede para zona dos pés
;Netz für Sitzrückenlehne;Net for rear of seat backrest;Filet pour dossier arrière;Red para el respaldo de los asientos;Rete per schienale sedile;Net voor acherzijde rugleuning;Nät för stolsrygg;Rede para encosto de banco
;Schutzplane;Tarpaulin cover;Bâche extérieure;Lona protectora;Telo copriauto;Beschermingszeil;Skyddspresenning;Encerado
RS;Radialspeiche;Radial spoke;Style à rayon radial;Radios radial;Raggi radiali;Radiaalspaken;Radialeker;Raios radiais
SS;Sternspeiche;Star spoke;Style à rayons en étoile;Radios en estrella;Raggi a stella;Sterspaken;Stjärneker;Raios em estrela
VS;V-Speiche;V spoke;Style à rayons en V;Radios V;Raggi a V;V-spaken;V-eker;Raios em V
YS;Y-Speiche;Y spoke;Style à rayon Y;Radios Y;Raggi a Y;Y-spaken;Y-eker;Raios em Y
PS;Parallelspeiche;Parallel spoke;Style à double branche;Radios paralelos;Raggi paralleli;Parallelspaken;Parallelleker;Raios paralelos
DS;Doppelspeiche;Double spoke;Style à double rayon;Radios dobles;Doppi raggi;Dubbele spaken;Dubbeleker;Raios duplos
TZS;Trapezstyling;Trapezoidal styling;Style trapèze;Estilo trapecio;Styling trapezoidale;Trapezium-styling;Trapez;Styling trapézio
ES;Ellipsoidstyling;Ellipsoid styling;Style ellipsoïde;Estilo Elipsoide;Styling ellissoidale;Ellipsoïde-styling;Ellipsoid;Styling elipsóide
TS;Turbinenstyling;Turbine styling;Style turbine;Estilo turbina;Styling turbina;Turbine-styling;Turbin;Styling turbina
DSV;Doppelspeichen-Verbundrad;Double spoke composite wheel;Style à double rayon composite;Radios dobles, llanta compuesta;Cerchio componibile a doppi raggi;Dubbele spaken-compoundvelg;Dubbeleker-Split;Jante composta com raios duplos
KSV;Kreuzspeichen-Verbundrad Styling;Cross spoke composite wheel, styling;Style à rayons croisés composite, boulonnée;Radios en cruz, llanta compuesta, estilo;Cerchio componibile a raggi incrociati, styling;Kruisspaken-compoundvelg styling;Krysseker-Split Styling;Styling jante composta com raios em cruz
SSV;Sternspeichen-Verbundrad;Star spoke composite wheel;Style composite à rayons en étoile;Radios de estrella, llanta compuesta;Cerchio componibile con raggi a stella;Sterspaken-compoundvelg;Stjärneker-Split;Jante composta com raios em estrela
RSV;Radialspeichen-Verbundrad;Radial spoke composite wheel;Style à rayons radial, composite;Radios radial, llanta compuesta;Cerchio componibile a raggi radiali;Radiaalspaken-compoundvelg;Radial-Split;Jante composta com raios radiais
MDS;M Doppelspeiche;M double spoke;Style M à double rayon, polie;M radios dobles;M doppi raggi;M dubbele spaken;M Dubbeleker;Raios duplos M
MPS;M Parallelspeiche;M parallel spoke;Style M à double branche;M radios paralelos;Raggi paralleli;M parallelspaken;M Parallelleker;Raios paralelos M
MVS;M V-Speiche;M V spoke;Style M à rayons en V;M radios V;M raggi a V;M V-spaken;M V-eker;Raios em V M
KS;Kreuzspeiche;Cross spoke;Style à rayons croisés;Radios en cruz;Raggi incrociati;Kruisspaken;Krysseker;Raios em cruz
VIS;Vielspeiche;Multi spoke;Style à multi rayons;Radios multi;Multi raggi;Multi spaken;Multi-Eker;Raios múltiplos
SPS;Speichenstyling;Spoke styling 33;Style à rayons;Estilo radios;Styling raggi;Spaken-styling;Eker Styling;Styling dos raios
;Grau;Grey;Grise;Gris;Grigia;Grijs;Grå;Cinzento
;Leder-Sportlenkrad;Leather-covered sport steering wheel;Volant sport, cuir;Volante deportivo de cuero;Volante sportivo in pelle;Lederen sportstuurwiel;Sportratt i läder;Volante desportivo em pele
;Handbremsgriff Birke Maser dunkel;Parking brake grip, birch;Poignée de frein à main, bouleau;Empuñadura del freno de mano, abedul;Maniglia freno a mano, betulla;Handremhefboom, berken;Handbromshandtag, björk;Punho do travão de mão em madeira de bétula escura
;Sportlenkrad schwarz;Sport steering wheel black;Volant sport noir;Volante deportivo negro;Volante sportivo nero;Sportstuurwiel schwarz;Sportratt svart;Volante desportivo, preto
;Sportlenkrad grau;Sport steering wheel grey;Volant sport grise;Volante deportivo gris;Volante sportivo grigia;Sportstuurwiel grijs;Sportratt grå;Volante desportivo, cinzento
;Sportlenkrad beige;Sport steering wheel beige;Volant sport beige;Volante deportivo beige;Volante sportivo beige;Sportstuurwiel beige;Sportratt beige;Volante desportivo, bege
;Sportlenkrad nachtblau;Sport steering wheel night blue;Volant sport bleu nuit;Volante deportivo azul noche;Volante sportivo blu notte;Sportstuurwiel nachtblauw;Sportratt nattblå;Volante desportivo, azul noite
;Sandbeige hell;Light sandy beige;Beige sable clair;Beige arena claro;Beige sabbia chiaro;Licht zandbeige;Ljus sandbeige;Bege areia claro
;Dunkelgrau;Dark grey;Grise foncé;Gris oscuro;Grigia scuro;Dunkelgrijs;Mörkgrå;Cinzento escuro
;Aluminium Trittbrett;Aluminium running board;Marchepied finition aluminium;Estribo de aluminio;Pedana in alluminio;Aluminium treeplank;Sidofotsteg av aluminium;Friso do estribo de alumínio
;BMW Soundmodul;BMW SoundModul;SoundModul BMW;BMW SoundModul;SoundModul BMW;BMW SoundModul;BMW SoundModul;Módulo de som BMW
;Chateau;Chateau;Chateau;Chateau;Chateau;Château;Chateau;Chateau
;Dekorblenden Titan II, dunkel;Titanium II decor trims, dark;Bandeau décoratif Titan II, foncé;Embellecedor oscuro Titan II;Mascherine ornamentali titanio II, scure;Decorafwerking, donker titanium II;Dekorlister, titan II mörka;Frisos decorativos em titânio II escuro
;Edelholz-Innenaustattung, Pappel rauchgrau;Fine wood interior trim, poplar, smoke grey;Intérieur bois précieux, peuplier gris fumée;Accesorios interiores de madera noble de álamo agrisado;Interni in legno pregiato, pioppo grigio fumo;Fijn houten interieur, populier rookkleur;Ädelträinredning, poppel rökgrå;Equipamento interior em madeira preciosa, choupo cinza fumo
;Geteilte Armauflage;Split armrest;Accoudoir compartimenté;Reposabrazos dividido;Bracciolo separabile;Gedeelde armsteun;Delat armstöd;Apoio para braços dividido
;Handbremsgriff Birke Maser hell;Handbrake grip, light birch grain;Poignée de frein à main en bouleau clair madré;Empuñadura de freno de mano clara de madera de abedul veteado;Impugnatura del freno a mano betulla venatura chiara;Handremgreep, licht gevlamd berken;Handbromshandtag björk masur ljus;Punho do travão de mão em madeira de bétula clara
;Interieurfarben;Interior colours;Coloris de l'habitacle;Colores del interior;Colori degli interni;Interieurkleuren;Interiörfärger;Cores para o interior
;Interieurleisten Aluminium Wolkenschliff;Aluminium, cloud finish interior trim;Inserts aluminium brossé façon nuages;Equipamiento interior de aluminio pulido;Listelli per l'abitacolo in alluminio decorato con motivi a rilievo;Interieurafwerking, gewolkt aluminium;Interiörlister, aluminium molnslipning;Frisos interiores decorativos em alumínio com polimento em nuvem
;Interieurleisten Birke Maser dunkel;Dark birch grain interior trim;Inserts bouleau foncé madré;Equipamiento interior oscuro de madera de abedul veteada;Listelli per l'abitacolo betulla venatura scura;Interieurafwerking, donker gevlamd berken;Interiörlister, björk masur mörk;Frisos interiores decorativos em madeira de bétula escura
;Interieurleisten Birke Maser hell;Light birch grain interior trim;Inserts bouleau clair madré;Equipamiento interior claro de madera de abedul veteada;Listelli per l'abitacolo betulla venatura chiara;Interieurafwerking, licht gevlamd berken;Interiörlister, björk masur ljus;Frisos interiores decorativos em madeira de bétula clara
;Interieurleisten graphit;Graphite interior trim;Inserts façon graphite;Equipamiento interior grafito;Listelli per l'abitacolo grafite;Interieurafwerking grafiet;Interiörlister grafit;Frisos interiores decorativos, grafite
;Interieurleisten Riegelahorn dunkel;Dark maple interior trim;Inserts érable foncé;Equipamiento interior de cierre de acero oscuro;Listelli per l'abitacolo acero frisé scuro;Interieurafwerking, donker esdoorn;Interiörlister lönn mörk;Frisos interiores decorativos em ácer escuro
;Interieurleisten Ruthenium Perlglanz;Pearlescent ruthenium interior trim;Inserts ruthénium nacré;Equipamiento interior rutenio nacarado;Listelli per l'abitacolo rutenio brillante;Interieurafwerking, ruthenium parelglans;Interiörlister rutenium pärlglans;Frisos interiores decorativos em ruténio com brilho nacarado
;Interieurleisten Schiefergrau dunkel;Dark slate grey interior trim;Inserts gris ardoise foncé;Equipamiento interior oscuro gris pizarra;Listelli per l'abitacolo grigio ardesia scuro;Interieurafwerking, donker leisteengrijs;Interiörlister skiffergrå mörk;Frisos interiores decorativos, cinzento ardósia escuro
;Lavagrau;Lava grey;Gris lave;Gris lava;Grigio lava;Lavagrijs;Lavagrå;Cinzento lava
;Leder-Schaltknauf mit Dekorspange, Schiefergrau dunkel;Leather gearshift knob with decorative clasp, dark slate grey;Pommeau de levier de vitesses en cuir avec bague décorative, gris ardoise foncé ;Empuñadura para palanca de cambios en cuero con cierre decorativo, gris pizarra oscuro;Pomello leva del cambio in pelle con inserto decorativo, grigio ardesia scuro;Lederen schakelknop met inleg, donker leisteengrijs;Växelspaksknopp, läder med dekorspänne, skiffergrå mörk;Punho de mudanças em pele com friso decorativo, cinzento ardósia escuro
;Leder-Schaltknauf mit Holzspange, Birke Maser hell;Leather gearshift knob with wooden clasp, light birch grain;Pommeau de levier de vitesses en cuir avec bague en bois, bouleau clair madré;Empuñadura para palanca de cambios clara en cuero con cierre de madera de abedul veteada;Pomello leva del cambio in pelle con inserto in legno, betulla venatura chiara;Lederen schakelknop met houten inleg, licht gevlamd berken;Växelspaksknopp av läder med träspänne, björk masur;Punho de mudanças em pele com friso em madeira, bétula clara
;Leder-Schaltknauf mit Holzspange, Pappel rauchgrau;Leather gearshift knob with wooden clasp, poplar smoke grey;Pommeau de levier de vitesses en cuir avec bague en bois, peuplier gris fumée;Empuñadura para palanca de cambios en cuero con cierre de madera, álamo agrisado;Pomello leva del cambio in pelle con inserto in legno, pioppo grigio fumo;Lederen schakelknop met houten inleg, populier rookkleur;Växelspaksknopp med träspänne, poppel rökgrå;Punho de mudanças em pele com friso em madeira, choupo cinza fumo
;Leder-Wählhebelgriff mit Dekorspange, Titan II dunkel;Leather selector lever grip with decorative clasp, dark titanium II ;Pommeau de sélecteur de vitesses en cuir avec une bague décorative, Titan II foncé ;Palanca de cambios automática en cuero con cierre decorativo, Titan II oscuro;Leva selettrice in pelle con inserto decorativo, titanio II scuro;Lederen keuzehendelgreep met inleg, donker titanium II;Väljarspak, läder och dekorspänne, titan II mörk;Punho da caixa automática em pele com friso decorativo, titânio II escuro
;Leder-Wählhebelgriff mit Holzspange, Birke Maser dunkel;Leather selector lever grip with wooden clasp, dark birch grain;Pommeau de sélecteur de vitesses en cuir avec une bague en bois, bouleau foncé madré ;Empuñadura para palanca de cambios oscura en cuero con cierre de madera de abedul veteada;Leva selettrice in pelle con inserto in legno, betulla venatura scura;Lederen keuzehendelgreep met houten inleg, donker gevlamd berken;Växelväljargrepp, läder med träspänne, björk masur;Punho da caixa automática em pele com friso de madeira, bétula escura
;Leder-Wählhebelgriff mit Holzspange, Birke Maser hell;Leather selector lever grip with wooden clasp, light birch grain;Pommeau de sélecteur de vitesses en cuir avec une bague en bois, bouleau clair madré ;Palanca de cambios automática clara en cuero con cierre de madera de abedul veteada;Leva selettrice in pelle con inserto in legno, betulla venatura chiara;Lederen keuzehendelgreep met houten inleg, licht gevlamd berken;Växelväljargrepp, läder med träspänne, björk masur ljus;Punho da caixa automática em pele com friso de madeira, bétula clara
;Leder-Wählhebelgriff mit Holzspange, Pappel rauchgrau;Leather selector lever grip with wooden clasp, poplar smoke grey;Pommeau de sélecteur de vitesses en cuir avec une bague en bois, peuplier gris fumée;Palanca de cambios automática en cuero con cierre de madera, álamo agrisado;Leva selettrice in pelle con inserto in legno, pioppo grigio fumo;Lederen keuzehendelgreep met houten inleg, populier rookkleur;Väljargrepp, läder med träspänne, poppel rökgrå;Punho da caixa automática em pele com friso em madeira, choupo cinza fumo
;Schilf;Reed;Roseau;Caña;Canna;Crème;Vass;Cor de junco
;Schilfgrün;Reed green;Vert roseau;Caña verde;Verde canna;Lichtgroen;Vassgrön;Verde junco
;Schmutzfänger;Mud flaps;Bavette pare-boue;Faldillas guardabarros;Paraspruzzi;Spatlappen;Stänkskydd;Pára-lamas
;Serienlenkrad ;Standard steering wheel;Volant de série;Volante de serie;Volante di serie;Standaardstuur ;Standardratt;Volante de série
;Serien-Wählhebel;Standard selector lever;Sélecteur de vitesses de série;Palanca de cambios de serie;Selettore di serie;Standaardkeuzehendel;Växelväljare standard;Alavanca de mudanças da caixa automática de série
;Sitzheizung vorne;Front seat heating;Chauffage des sièges avant;Calefacción para asientos delanteros;Riscaldamento del sedile anteriore;Stoelverwarming voor;Stolvärme fram;Aquecimento do banco dianteiro
;Sportnachschalldämpfer;Sports rear silencer;Silencieux arrière sport;Silenciador trasero deportivo;Marmitta posteriore sportiva;Sportuitlaatdemper;Bakre sportljuddämpare;Silenciador secundário desportivo
;Terracotta;Terracotta;Terracotta;Terracota;Terracotta;Terracotta;Terracotta;Terracota
;Leder-Schaltknauf mit Holzspange, Birke Maser dunkel;Leather gear lever knob with wooden clasp, dark birch grain;Pommeau de levier de vitesses en cuir avec une bague en bois, bouleau foncé madré ;Empuñadura para palanca de cambios oscura en cuero con cierre de madera de abedul veteada;Pomello leva del cambio in pelle con inserto in legno, betulla venatura scura;Lederen schakelknop met houten inleg, donker gevlamd berken;Växelspaksknopp, läder med träspänne, björk masur;Punho de mudanças em pele com friso em madeira, bétula escura
;Leder-Schaltknauf mit Dekorspange, Titan II dunkel;Leather gear lever knob with decorative clasp, dark titanium II ;Pommeau de levier de vitesses en cuir avec une bague décorative, Titan II foncé ;Empuñadura para palanca de cambios en cuero con cierre decorativo, Titan II oscuro;Pomello leva del cambio in pelle con inserto decorativo, titanio II scuro;Lederen schakelknop met inleg, donker titanium II;Växelspaksknopp, läder och dekorspänne, titan II mörk;Punho de mudanças em pele com friso decorativo, titânio II escuro
;Exterieurumfänge in Wagenfarbe;Exterior items in body colour;Fournitures extérieures dans le coloris du véhicule;Componentes exteriores según el color del vehículo;Elementi esterni nel colore della carrozzeria;Exterieuritems in kleur van de auto;Exteriöromfattning i bilens färg;Equipamentos exteriores na cor do veículo
;Shadow Line;Shadow Line;Shadow line;Línea Shadow;Shadow Line;Shadow Line;Shadow Line;Shadow Line
;Multifunktion für Sportlenkrad;Multi-functions for sports steering wheel;Volant sport multifonctions;Función múltiple para el volante deportivo;Multifunzione per volante sportivo;Multifunctie voor sportstuurwiel;Multifunktion för sportratt;Volante desportivo multifuncional
;Sitzbezug Lammfell grau;Seat cover, lambskin, grey;Housse de siège ' agneau ' de couleur grise ;Asiento deportivo de piel de cordero gris;Foderine in pelliccia d'agnello colore grigio;Stoelovertrek, lamsleer grijs;Stolklädsel lammfäll grå;Forro para bancos em pele de borrego, cinzento
;Sitzbezug Lammfell anthrazit;Seat cover, lambskin, anthracite;Housse de siège ' agneau ' de couleur anthracite;Asiento deportivo de piel de cordero antracita;Foderine in pelliccia d'agnello colore antracite;Stoelovertrek, lamsleer antraciet;Stolklädsel lammfäll antracit;Forro para bancos em pele de borrego, antracite
;Interieurleisten Silber;Interior trim strips, silver;Inserts d'habitacle ' Silber ';Equipamiento interior Silber;Listelli abitacolo Silber;Interieurlijsten, zilver;Interiörlister 'Silber';Frisos interiores decorativos, prateado
;Interieurleisten Aluminium Kodiaksilber;Interior trim strips, aluminium, Kodiak silver;Inserts d'habitacle aluminium ' Kodiaksilber ';Equipamiento interior aluminio Kodiaksilber;Listelli abitacolo in alluminio Kodiaksilber;Interieurlijsten, aluminium kodiakzilver;Interiörlister aluminium 'Kodiaksilber';Frisos interiores decorativos em alumínio prateado Kodiak
;Interieurleisten Titanium matt;Interior trim strips, titanium matt;Inserts d'habitacle ' Titan matt ';Equipamiento interior titanio mate;Listelli abitacolo in titanio opaco;Interieurlijsten, mat titanium;Interiörlister 'Titanium matt';Frisos interiores decorativos, titânio mate
;Interieurleisten Gomeraschwarz;Interior trim strips, Gomera black;Inserts d'habitacle ' Gomeraschwarz ';Equipamiento interior negro Gomera;Listelli abitacolo Gomeraschwarz;Interieurlijsten, Gomeraschwarz;Interiörlister 'Gomeraschwarz';Frisos interiores decorativos, preto Gomera
;Interieurleisten Senn-Esche;Interior trim strips, Alpine ash;Inserts d'habitacle en bois de sen;Equipamiento interior de fresno;Listelli abitacolo in frassino alpino;Interieurlijsten, bergessenhout;Interiörlister alpask;Frisos interiores decorativos em carvalho
;Leder-Schaltknauf mit Dekorspange, Senn-Esche;Leather-covered gear lever knob with alpine ash decorative strip;Pommeau de levier de vitesses gainé cuir avec décoratif en bois de sen;Empuñadura para palanca de cambio manual en cuero con elementos decorativos en fresno;Pomello cambio in pelle con inserto decorativo in frassino alpino;Lederen schakelknop met sierring, bergessenhout;Växelspaksknopp läder med dekorspänne, alpask;Punho de mudanças em pele com friso decorativo em carvalho
;Handbremsgriff, Leder schwarz;Handbrake grip, black leather;Poignée de frein à main en cuir noir;Empuñadura de la palanca del freno de mano en cuero negro;Impugnatura del freno a mano in pelle nera;Handremgreep, leder zwart;Handbromshandtag, läder svart;Punho do travão de mão em pele, preto
;Handbremsgriff, Senn-Esche;Handbrake grip, Alpine ash;Poignée de frein à main en bois de sen;Empuñadura de la palanca del freno de mano en fresno;Impugnatura del freno a mano in frassino alpino;Handremgreep, bergessenhout;Handbromshandtag, alpask;Punho do travão de mão em madeira de carvalho
;Rennradhalterung, abschließbar;Racing cycle carrier, locking;Porte-vélos de course, verrouillable;Soporte para bicicletas de carrera con cierre;Portabici da corsa con serratura ;Racefietshouder, afsluitbaar;Tävlingscykelhållare, låsbar;Porta-bicicletas de corrida com fecho
;Surfboard-Halterung;Surfboard carrier;Porte-planche à voile;Soporte para la tabla de surf;Portasurf;Surfboard-houder;Surfboard-hållare;Suporte para prancha de surf
;Nachtblau;Night blue;Nachtblau;Nachtblau;Nachtblau;Nachtblau;Nachtblau;Nachtblau
;Havanna;Havanna;Havanna;Havanna;Havanna;Havanna;Havanna;Havanna
;Quarzblau;Quartz blue;Quarzblau;Quarzblau;Quarzblau;Quarzblau;Quarzblau;Quarzblau
;Sydneyblau;Sydney blue;Sydneyblau;Sydneyblau;Sydneyblau;Sydneyblau;Sydneyblau;Sydneyblau
;Nautikblau;Nautic blue;Nautikblau;Nautikblau;Nautikblau;Nautikblau;Nautikblau;Nautikblau
;Sonora;Sonora;Sonora;Sonora;Sonora;Sonora;Sonora;Sonora
;Sparkling graphite;Sparkling graphite;Sparkling graphite;Sparkling graphite;Sparkling graphite;Sparkling graphite;Sparkling graphite;Sparkling graphite
;Silverstone II;Silverstone II;Silverstone II;Silverstone II;Silverstone II;Silverstone II;Silverstone II;Silverstone II
;Interlagosblau;Interlagos blue;Interlagosblau;Interlagosblau;Interlagosblau;Interlagosblau;Interlagosblau;Interlagosblau
;Indianapolisrot;Indianapolis red;Indianapolisrot;Indianapolisrot;Indianapolisrot;Indianapolisrot;Indianapolisrot;Indianapolisrot
;Sepang Silber;Sepang silver;Sepang Silber;Sepang Silber;Sepang Silber;Sepang Silber;Sepang Silber;Sepang Silber
;Stoff Moiré;Moiré fabric;Tissu Moiré;Tela Moiré;Tessuto Moiré;Stof Moiré;Tyg Moiré;Tecido moiré
;Alaskagrau;Alaska grey;Alaskagrau;Alaskagrau;Alaskagrau;Alaskagrau;Alaskagrau;Cinzento Alasca
;Stoff Motion/Sensatec;Motion/Sensatec fabric;Tissu Motion/Sensatec;Tela Motion/Sensatec;Tessuto Motion/Sensatec;Stof Motion/Sensatec;Tyg Motion/Sensatec;Tecido Motion/Sensatec
;Graphit;Graphite;Graphit;Graphit;Graphit;Graphit;Graphit;Grafite
;Leder Boston;Boston leather;Cuir Boston;Cuero Boston;Pelle Boston;Leder Boston;Läder Boston;Pele Boston
;Beige/Havanna;Beige/Havana;Beige/Havanna;Beige/Havanna;Beige/Havanna;Beige/Havanna;Beige/Havanna;Bege/Havana
;Beige/Beige;Beige/Beige;Beige/Beige;Beige/Beige;Beige/Beige;Beige/Beige;Beige/Beige;Bege/Bege
;Aerodynamik-Komponenten;Aerodynamic components;Eléments aérodynamiques;Componentes aerodinámicos;Componenti aerodinamici;Aërodynamica-componenten;Aerodynamikkomponenter;Componentes aerodinâmicos
;Stoßleisten;Rubbing strips;Baguettes de protection;Listón de choques;Listelli paracolpi;Stootlijsten;Skyddslister;Barras de protecção
;Interieurleisten Alu-Längsschliff;Ground aluminium interior trim strip;Insert d'habitacle alu;Revestimientos interiores con tallado longitudinal de aluminio;Modanature abitacolo in alluminio lucidato longitudinalmente;Interieurlijsten aluminium-langsgeslepen;Interiörlister aluminium längdslipade;Frisos interiores decorativos, alumínio com polimento longitudinal
;Leder-Schaltknauf mit Dekorspange;Leather-covered gear lever with decorative strip;Pommeau de levier de vitesses en cuir avec bague décor;Palanca de cambio manuall con cierre de adorno;Pomello cambio in pelle con inserto decorativo;Leder-schakelknop met decorband;Läderväxelspaksknopp med dekorspänne;Punho de mudanças em pele com friso decorativo
;Leder-Wählhebelgriff mit Dekorspange;Leather-covered sport steering wheel with decorative trim;Poignée de sélecteur de vitesses avec bague décor;Palanca de cambio automático con cierre de adorno;Leva selettrice in pelle con inserto decorativo ;Leder-keuzehendel met decorband;Läderväxelhandtag med dekorspänne;Punho da caixa automática em pele com friso decorativo
;Leder-Sportlenkrad mit Dekorblende;Leather-covered sports steering wheel with decor trim;Volant sport en cuir avec façade décor;Volante deportivo en cuero con embellecedor de adorno;Volante sportivo in pelle con modanatura decorativa;Leder-sportstuurwiel met decorafdekking;Lädersportratt med dekorpanel;Volante desportivo em pele com friso decorativo
;Perlglanz Chrom;Pearlescent chrome;Chrome nacré;Cromo con reflejos perla;Cromato lucido perlaceo;Parelglans chroom;Pärlglans krom;Cromado com brilho nacarado
;Nussbaumwurzel;Burr walnut;Ronce de noyer;Raíz de nogal;Radica di noce;Wortelnotehout;Valnötsrot;Raiz de nogueira
